fill	colour	x	y	density	group	level	piece	xmin	xmax	ymin	ymax
#234B6F	#234B6F	0.0606060606060606	0.0454545454545455	0.000221723899267105	1	1	1	0.0454545454545455	0.0757575757575757	NA	0.061128526645768
#295880	#295880	0.0909090909090909	0.0454545454545455	0.000299397492947203	1	1	1	0.0757575757575758	0.106060606060606	NA	0.061128526645768
#265176	#265176	0.121212121212121	0.0454545454545455	0.000255675503951212	1	1	1	0.106060606060606	0.136363636363636	NA	0.061128526645768
#1D405F	#1D405F	0.151515151515151	0.0454545454545455	0.000149305018109025	1	1	1	0.136363636363636	0.166666666666667	NA	0.061128526645768
#17334E	#17334E	0.181818181818182	0.0454545454545455	6.60105971737408e-05	1	1	1	0.166666666666667	0.196969696969697	NA	0.061128526645768
#142D45	#142D45	0.212121212121212	0.0454545454545455	2.39143830204128e-05	1	1	1	0.196969696969697	0.227272727272727	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.242424242424242	0.0454545454545455	7.42779102672694e-06	1	1	1	0.227272727272727	0.257575757575758	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.272727272727273	0.0454545454545455	2.05826051200527e-06	1	1	1	0.257575757575758	0.287878787878788	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.303030303030303	0.0454545454545455	5.20649358805323e-07	1	1	1	0.287878787878788	0.318181818181818	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.333333333333333	0.0454545454545455	1.2289874631248e-07	1	1	1	0.318181818181818	0.348484848484848	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.363636363636364	0.0454545454545455	2.67977279969334e-08	1	1	1	0.348484848484849	0.378787878787879	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.393939393939394	0.0454545454545455	4.97288449771862e-09	1	1	1	0.378787878787879	0.409090909090909	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.424242424242424	0.0454545454545455	7.76185935205649e-10	1	1	1	0.409090909090909	0.439393939393939	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.454545454545455	0.0454545454545455	1.20976468130644e-10	1	1	1	0.439393939393939	0.46969696969697	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.484848484848485	0.0454545454545455	2.36148616062397e-11	1	1	1	0.46969696969697	0.5	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.515151515151515	0.0454545454545455	5.83316076747112e-12	1	1	1	0.5	0.53030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.545454545454545	0.0454545454545455	1.26174026333286e-12	1	1	1	0.53030303030303	0.560606060606061	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.575757575757576	0.0454545454545455	1.74605782646648e-13	1	1	1	0.560606060606061	0.590909090909091	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.606060606060606	0.0454545454545455	1.38927206951796e-14	1	1	1	0.590909090909091	0.621212121212121	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.636363636363636	0.0454545454545455	6.19394895533967e-16	1	1	1	0.621212121212121	0.651515151515151	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.666666666666667	0.0454545454545455	1.53856859404259e-17	1	1	1	0.651515151515151	0.681818181818182	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.696969696969697	0.0454545454545455	2.12663851523001e-19	1	1	1	0.681818181818182	0.712121212121212	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.727272727272727	0.0454545454545455	1.63526744811947e-21	1	1	1	0.712121212121212	0.742424242424242	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.757575757575758	0.0454545454545455	6.99528454645044e-24	1	1	1	0.742424242424242	0.772727272727273	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.787878787878788	0.0454545454545455	1.66501264199681e-26	1	1	1	0.772727272727273	0.803030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.818181818181818	0.0454545454545455	2.2061576321478e-29	1	1	1	0.803030303030303	0.833333333333333	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.848484848484848	0.0454545454545455	1.62938624674717e-32	1	1	1	0.833333333333333	0.863636363636364	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.878787878787879	0.0454545454545455	6.73059681036095e-36	1	1	1	0.863636363636364	0.893939393939394	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.909090909090909	0.0454545454545455	1.56862027750808e-39	1	1	1	0.893939393939394	0.924242424242424	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.939393939393939	0.0454545454545455	2.1683967719305e-43	1	1	1	0.924242424242424	0.954545454545454	NA	0.061128526645768
#2C5D86	#2C5D86	0.0606060606060606	0.0768025078369906	0.000327119324743802	1	1	1	0.0454545454545455	0.0757575757575757	0.0611285266457681	0.0924764890282131
#3874A6	#3874A6	0.0909090909090909	0.0768025078369906	0.000466808433715763	1	1	1	0.0757575757575758	0.106060606060606	0.0611285266457681	0.0924764890282131
#35709F	#35709F	0.121212121212121	0.0768025078369906	0.000439067643288718	1	1	1	0.106060606060606	0.136363636363636	0.0611285266457681	0.0924764890282131
#2A5880	#2A5880	0.151515151515151	0.0768025078369906	0.000300023610449255	1	1	1	0.136363636363636	0.166666666666667	0.0611285266457681	0.0924764890282131
#1E4262	#1E4262	0.181818181818182	0.0768025078369906	0.000163054052695297	1	1	1	0.166666666666667	0.196969696969697	0.0611285266457681	0.0924764890282131
#17344F	#17344F	0.212121212121212	0.0768025078369906	7.39516322986784e-05	1	1	1	0.196969696969697	0.227272727272727	0.0611285266457681	0.0924764890282131
#142D46	#142D46	0.242424242424242	0.0768025078369906	2.90473710045996e-05	1	1	1	0.227272727272727	0.257575757575758	0.0611285266457681	0.0924764890282131
#132B43	#132B43	0.272727272727273	0.0768025078369906	1.01138893610859e-05	1	1	1	0.257575757575758	0.287878787878788	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.303030303030303	0.0768025078369906	3.15503559895204e-06	1	1	1	0.287878787878788	0.318181818181818	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.333333333333333	0.0768025078369906	9.22704753606628e-07	1	1	1	0.318181818181818	0.348484848484848	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.363636363636364	0.0768025078369906	2.48515322517808e-07	1	1	1	0.348484848484849	0.378787878787879	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.393939393939394	0.0768025078369906	5.65701305191575e-08	1	1	1	0.378787878787879	0.409090909090909	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.424242424242424	0.0768025078369906	1.13532404909695e-08	1	1	1	0.409090909090909	0.439393939393939	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.454545454545455	0.0768025078369906	2.43837725585285e-09	1	1	1	0.439393939393939	0.46969696969697	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.484848484848485	0.0768025078369906	6.68640821024844e-10	1	1	1	0.46969696969697	0.5	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.515151515151515	0.0768025078369906	2.06345287091051e-10	1	1	1	0.5	0.53030303030303	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.545454545454545	0.0768025078369906	4.81326158200645e-11	1	1	1	0.53030303030303	0.560606060606061	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.575757575757576	0.0768025078369906	6.78315687301705e-12	1	1	1	0.560606060606061	0.590909090909091	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.606060606060606	0.0768025078369906	5.41862127880328e-13	1	1	1	0.590909090909091	0.621212121212121	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.636363636363636	0.0768025078369906	2.41793343328998e-14	1	1	1	0.621212121212121	0.651515151515151	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.666666666666667	0.0768025078369906	6.00760513119298e-16	1	1	1	0.651515151515151	0.681818181818182	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.696969696969697	0.0768025078369906	8.30585766424933e-18	1	1	1	0.681818181818182	0.712121212121212	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.727272727272727	0.0768025078369906	6.39040130826198e-20	1	1	1	0.712121212121212	0.742424242424242	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.757575757575758	0.0768025078369906	2.7377785390451e-22	1	1	1	0.742424242424242	0.772727272727273	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.787878787878788	0.0768025078369906	6.54241591588423e-25	1	1	1	0.772727272727273	0.803030303030303	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.818181818181818	0.0768025078369906	8.75989984639761e-28	1	1	1	0.803030303030303	0.833333333333333	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.848484848484848	0.0768025078369906	6.64745048348263e-31	1	1	1	0.833333333333333	0.863636363636364	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.878787878787879	0.0768025078369906	2.9382543287889e-34	1	1	1	0.863636363636364	0.893939393939394	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.909090909090909	0.0768025078369906	8.01893427209598e-38	1	1	1	0.893939393939394	0.924242424242424	0.0611285266457681	0.0924764890282131
#FFFFFF	#FFFFFF	0.939393939393939	0.0768025078369906	2.65037706114629e-40	1	1	1	0.924242424242424	0.954545454545454	0.0611285266457681	0.0924764890282131
#265177	#265177	0.0606060606060606	0.108150470219436	0.000259779117256613	1	1	1	0.0454545454545455	0.0757575757575757	0.0924764890282132	0.123824451410658
#326997	#326997	0.0909090909090909	0.108150470219436	0.000403268642079098	1	1	1	0.0757575757575758	0.106060606060606	0.0924764890282132	0.123824451410658
#356F9F	#356F9F	0.121212121212121	0.108150470219436	0.000438800217952034	1	1	1	0.106060606060606	0.136363636363636	0.0924764890282132	0.123824451410658
#2F6490	#2F6490	0.151515151515151	0.108150470219436	0.000370289171495077	1	1	1	0.136363636363636	0.166666666666667	0.0924764890282132	0.123824451410658
#265176	#265176	0.181818181818182	0.108150470219436	0.00025689572105894	1	1	1	0.166666666666667	0.196969696969697	0.0924764890282132	0.123824451410658
#1D405F	#1D405F	0.212121212121212	0.108150470219436	0.000151017770264835	1	1	1	0.196969696969697	0.227272727272727	0.0924764890282132	0.123824451410658
#183450	#183450	0.242424242424242	0.108150470219436	7.67971475742567e-05	1	1	1	0.227272727272727	0.257575757575758	0.0924764890282132	0.123824451410658
