x	y	group
0.0454545454545455	0.197670293476939	1
0.146464646464646	0.239802226969776	1
0.247474747474748	0.311237931464822	1
0.348484848484849	0.398679038646441	1
0.44949494949495	0.447005445604809	1
0.550505050505051	0.515092753875175	1
0.651515151515152	0.588806282789029	1
0.752525252525253	0.601561597484197	1
0.853535353535354	0.700772267462147	1
0.954545454545455	0.745643273723499	1
0.0454545454545455	0.237145406785998	2
0.146464646464646	0.243859579397817	2
0.247474747474748	0.367445369635392	2
0.348484848484849	0.426490280898462	2
0.44949494949495	0.477462568742119	2
0.550505050505051	0.547304893813203	2
0.651515151515152	0.618333658273449	2
0.752525252525253	0.679107993755264	2
0.853535353535354	0.682804559832597	2
0.954545454545455	0.807948141980599	2
0.0454545454545455	0.0454545454545454	3
0.146464646464646	0.0991415621248513	3
0.247474747474748	0.176886337602181	3
0.348484848484849	0.244115114195016	3
0.44949494949495	0.307690232782583	3
0.550505050505051	0.324267375365115	3
0.651515151515152	0.412898770388857	3
0.752525252525253	0.426250006658011	3
0.853535353535354	0.499735941783057	3
0.954545454545455	0.573514187169762	3
0.0454545454545455	0.498321602795036	4
0.146464646464646	0.459877173832693	4
0.247474747474748	0.587178918652995	4
0.348484848484849	0.611194376232863	4
0.44949494949495	0.681202512165089	4
0.550505050505051	0.77201702291479	4
0.651515151515152	0.767843538299452	4
0.752525252525253	0.809356192424125	4
0.853535353535354	0.91197237033476	4
0.954545454545455	0.954545454545454	4
0.0454545454545455	0.390286275734981	5
0.146464646464646	0.468811370887887	5
0.247474747474748	0.531587710516125	5
0.348484848484849	0.598557844604084	5
0.44949494949495	0.611848908585401	5
0.550505050505051	0.672874458372835	5
0.651515151515152	0.69938574832981	5
0.752525252525253	0.78941921663337	5
0.853535353535354	0.882886839294741	5
0.954545454545455	0.882115235408464	5
