colour	x	y	clickSelects	fill
#F8766D	0.435437220572071	0.43901957385242	Female.No	#F8766D
#7CAE00	0.863173467784443	0.432024267756126	Male.No	#7CAE00
#7CAE00	0.710537097501484	0.239272992465306	Male.No	#7CAE00
#7CAE00	0.671569944274696	0.446367789144543	Male.No	#7CAE00
#F8766D	0.202641352757134	0.171447121114893	Female.No	#F8766D
#7CAE00	0.872460689734329	0.376841958019544	Male.No	#7CAE00
#7CAE00	0.802736726928164	0.421016397377984	Male.No	#7CAE00
#7CAE00	0.729015790264715	0.186906477351758	Male.No	#7CAE00
#7CAE00	0.585879051465202	0.117931941185485	Male.No	#7CAE00
#7CAE00	0.65592050653967	0.14989948687567	Male.No	#7CAE00
#7CAE00	0.670936134982515	0.311804076318036	Male.No	#7CAE00
#F8766D	0.428040405312045	0.33973611925136	Female.No	#F8766D
#7CAE00	0.654653547755019	0.158008540557189	Male.No	#7CAE00
#7CAE00	0.678738315335729	0.189330171709034	Male.No	#7CAE00
#F8766D	0.350207681852308	0.294176604598761	Female.No	#F8766D
#7CAE00	0.732588445937092	0.389941108074378	Male.No	#7CAE00
#F8766D	0.318182621659203	0.34969971049577	Female.No	#F8766D
#7CAE00	0.781643089414997	0.303607097234238	Male.No	#7CAE00
#F8766D	0.412472400306301	0.379983193749054	Female.No	#F8766D
#7CAE00	0.550780548629436	0.296958719464866	Male.No	#7CAE00
#7CAE00	0.883034055798568	0.137801911258562	Male.No	#7CAE00
#F8766D	0.274379602040757	0.400233135220002	Female.No	#F8766D
#F8766D	0.200225564651191	0.129533658312126	Female.No	#F8766D
#7CAE00	0.645065766928548	0.360178039493886	Male.No	#7CAE00
#7CAE00	0.687654064290903	0.204346169040284	Male.No	#7CAE00
#7CAE00	0.551408840174025	0.253503723408688	Male.No	#7CAE00
#7CAE00	0.788791409354995	0.316848104396327	Male.No	#7CAE00
#7CAE00	0.706825034015558	0.340637298300862	Male.No	#7CAE00
#7CAE00	0.725967506031421	0.430724557997151	Male.No	#7CAE00
#F8766D	0.348356421613558	0.395201964473182	Female.No	#F8766D
#7CAE00	0.581904245794497	0.176786323416639	Male.No	#7CAE00
#7CAE00	0.75068604582074	0.291475817222487	Male.No	#7CAE00
#F8766D	0.0937533885748549	0.17489126493985	Female.No	#F8766D
