alpha	linetype	x	y	group	showSelectedlegendlinetype
0.4104	solid	0.0454545454545455	0.13049435655996	1	FALSE
0.4104	solid	0.146464646464646	0.197781837596328	1	FALSE
0.4104	solid	0.247474747474748	0.262080488017834	1	FALSE
0.4104	solid	0.348484848484849	0.372602717237424	1	FALSE
0.4104	solid	0.44949494949495	0.456498534739031	1	FALSE
0.4104	solid	0.550505050505051	0.50649118892596	1	FALSE
0.4104	solid	0.651515151515152	0.603602777618545	1	FALSE
0.4104	solid	0.752525252525253	0.659093380247942	1	FALSE
0.4104	solid	0.853535353535354	0.766049812949515	1	FALSE
0.4104	solid	0.954545454545455	0.837204235761978	1	FALSE
0.2368	solid	0.0454545454545455	0.161007928807271	2	FALSE
0.2368	solid	0.146464646464646	0.230822358809957	2	FALSE
0.2368	solid	0.247474747474748	0.259078022200041	2	FALSE
0.2368	solid	0.348484848484849	0.334000435547385	2	FALSE
0.2368	solid	0.44949494949495	0.371632039478743	2	FALSE
0.2368	solid	0.550505050505051	0.429082099303208	2	FALSE
0.2368	solid	0.651515151515152	0.476013301818926	2	FALSE
0.2368	solid	0.752525252525253	0.535456730779687	2	FALSE
0.2368	solid	0.853535353535354	0.603665555432136	2	FALSE
0.2368	solid	0.954545454545455	0.608353051082707	2	FALSE
0.3144	solid	0.0454545454545455	0.174748215077199	3	FALSE
0.3144	solid	0.146464646464646	0.21979461969152	3	FALSE
0.3144	solid	0.247474747474748	0.26630279962235	3	FALSE
0.3144	solid	0.348484848484849	0.36098923806029	3	FALSE
0.3144	solid	0.44949494949495	0.42072982374051	3	FALSE
0.3144	solid	0.550505050505051	0.450173503746317	3	FALSE
0.3144	solid	0.651515151515152	0.521780927901623	3	FALSE
0.3144	solid	0.752525252525253	0.563130438343167	3	FALSE
0.3144	solid	0.853535353535354	0.620853576878633	3	FALSE
0.3144	solid	0.954545454545455	0.710104875566988	3	FALSE
0.372	solid	0.0454545454545455	0.157061152711687	4	FALSE
0.372	solid	0.146464646464646	0.230741044596682	4	FALSE
0.372	solid	0.247474747474748	0.322646141505643	4	FALSE
0.372	solid	0.348484848484849	0.409827987108565	4	FALSE
0.372	solid	0.44949494949495	0.432109938951838	4	FALSE
0.372	solid	0.550505050505051	0.516913258854475	4	FALSE
0.372	solid	0.651515151515152	0.580829807717662	4	FALSE
0.372	solid	0.752525252525253	0.655184740340512	4	FALSE
0.372	solid	0.853535353535354	0.72613369528262	4	FALSE
0.372	solid	0.954545454545455	0.786709939142381	4	FALSE
0.3328	solid	0.0454545454545455	0.165882192571479	5	FALSE
