colour	fill	x	y
#F8766D	#F8766D	0.935030226464722	0.561968518337125
#F8766D	#F8766D	0.584950649969863	0.582836901432144
#F8766D	#F8766D	0.58665869413387	0.599550569069798
#F8766D	#F8766D	0.689894382678859	0.673976337946667
#F8766D	#F8766D	0.566472426034878	0.59561661449727
#F8766D	#F8766D	0.665014368563422	0.57425981085308
#F8766D	#F8766D	0.634772678937284	0.730802180168817
#F8766D	#F8766D	0.664412456797901	0.527597016772331
#F8766D	#F8766D	0.689571021030154	0.704261853282116
#F8766D	#F8766D	0.685444532583115	0.630244260019612
#F8766D	#F8766D	0.639315894861476	0.636379942782185
#F8766D	#F8766D	0.586884757855313	0.686419702167431
#F8766D	#F8766D	0.670337665130675	0.580301729974377
#F8766D	#F8766D	0.591134753134085	0.529107723343092
#F8766D	#F8766D	0.731027708915418	0.536244485455499
#F8766D	#F8766D	0.564428646437806	0.54294761894648
#F8766D	#F8766D	0.812529048519627	0.554444336106472
#F8766D	#F8766D	0.665489192726359	0.815431967308281
#F8766D	#F8766D	0.632153156067111	0.552475011799606
#F8766D	#F8766D	0.848158380195955	0.625116017187994
#F8766D	#F8766D	0.773728345597203	0.57752507465491
#F8766D	#F8766D	0.686176646290813	0.660252299100481
#F8766D	#F8766D	0.55164523637379	0.543293576612677
#F8766D	#F8766D	0.623616349313353	0.542588923003315
#F8766D	#F8766D	0.627413901487113	0.747258009658689
#F8766D	#F8766D	0.813705938764084	0.743275524806522
#F8766D	#F8766D	0.720640076797342	0.526487661677165
#F8766D	#F8766D	0.706935809958843	0.621133521278084
#F8766D	#F8766D	0.568804891785256	0.542891355622598
#F8766D	#F8766D	0.616518536286802	0.540054800068965
#F8766D	#F8766D	0.871391457478938	0.662661631856569
#F8766D	#F8766D	0.649692238532459	0.645482643287322
#F8766D	#F8766D	0.807778574609141	0.608109754441065
#F8766D	#F8766D	0.572030032386442	0.551003619585864
#F8766D	#F8766D	0.600349318296113	0.578336911392525
#F8766D	#F8766D	0.949112958967769	0.602103006153207
#F8766D	#F8766D	0.547967991041125	0.744009463706362
#F8766D	#F8766D	0.681811145596981	0.581798910930601
#F8766D	#F8766D	0.764756335334554	0.648631776995312
#F8766D	#F8766D	0.589412845777237	0.651153647934439
#F8766D	#F8766D	0.614392913519002	0.529684080926978
