alpha	colour	fill	x	y	clickSelects
0.6856	#7CAE00	#7CAE00	0.492732385868788	0.640208744739971	Q2
0.6688	#7CAE00	#7CAE00	0.442728923890825	0.590792227586224	Q2
0.8376	#7CAE00	#7CAE00	0.293147080002186	0.766845102389569	Q2
0.6952	#7CAE00	#7CAE00	0.478844388912542	0.650614141857499	Q2
0.7424	#7CAE00	#7CAE00	0.371882562381235	0.661954174536754	Q2
0.6576	#7CAE00	#7CAE00	0.471263640915662	0.592890668922295	Q2
0.748	#7CAE00	#7CAE00	0.421126250810915	0.70723838900749	Q2
0.6616	#7CAE00	#7CAE00	0.49763287139684	0.606801122126022	Q2
0.7896	#7CAE00	#7CAE00	0.404507716386959	0.763064024678473	Q2
0.692	#7CAE00	#7CAE00	0.497957470811012	0.649603240015907	Q2
0.7456	#7CAE00	#7CAE00	0.440260756486988	0.712251507491744	Q2
0.6952	#7CAE00	#7CAE00	0.377561011361494	0.526601801056619	Q2
0.6424	#7CAE00	#7CAE00	0.479568553977628	0.57357421264945	Q2
0.8728	#7CAE00	#7CAE00	0.397880014992642	0.882915916355588	Q2
0.6968	#7CAE00	#7CAE00	0.417301418551947	0.619537125045604	Q2
0.6496	#7CAE00	#7CAE00	0.470179726019017	0.578493070114484	Q2
0.6864	#7CAE00	#7CAE00	0.398758145770965	0.565763735242211	Q2
0.9656	#7CAE00	#7CAE00	0.085607181042499	0.784390865487285	Q2
0.8168	#7CAE00	#7CAE00	0.394084950084828	0.799684015893805	Q2
0.7296	#7CAE00	#7CAE00	0.373786207106034	0.638018841467902	Q2
0.6672	#7CAE00	#7CAE00	0.441185739801414	0.585872258917025	Q2
0.8024	#7CAE00	#7CAE00	0.351128408444203	0.751701022809317	Q2
0.7968	#7CAE00	#7CAE00	0.288001439713582	0.675631080015803	Q2
0.7392	#7CAE00	#7CAE00	0.467853064135089	0.711097894177259	Q2
0.7712	#7CAE00	#7CAE00	0.281028969302929	0.571077472984151	Q2
0.7984	#7CAE00	#7CAE00	0.480074843756524	0.795555109926771	Q2
0.8752	#7CAE00	#7CAE00	0.27224475117532	0.817207727296941	Q2
0.6904	#7CAE00	#7CAE00	0.427412938423703	0.616419872485641	Q2
0.7592	#7CAE00	#7CAE00	0.377210316849817	0.697783729903429	Q2
0.76	#7CAE00	#7CAE00	0.468461743657699	0.740594414075726	Q2
0.6728	#7CAE00	#7CAE00	0.502612393463638	0.622425873520554	Q2
0.8128	#7CAE00	#7CAE00	0.234177678094611	0.613286956434657	Q2
0.7272	#7CAE00	#7CAE00	0.347069701844326	0.587046193110379	Q2
0.7064	#7CAE00	#7CAE00	0.470207093896067	0.664569297121715	Q2
0.664	#7CAE00	#7CAE00	0.462776095001279	0.597519122451211	Q2
0.7288	#7CAE00	#7CAE00	0.334814926141704	0.54677652118702	Q2
0.764	#7CAE00	#7CAE00	0.309872996569918	0.624829845279035	Q2
0.6816	#7CAE00	#7CAE00	0.441286334390589	0.612400090930749	Q2
0.704	#7CAE00	#7CAE00	0.472803948094339	0.661310766256274	Q2
0.6656	#7CAE00	#7CAE00	0.426153007353084	0.559057891007095	Q2
0.7712	#7CAE00	#7CAE00	0.42259728438111	0.742684659140751	Q2
0.7032	#7CAE00	#7CAE00	0.38661870200163	0.593519871630416	Q2
0.7808	#7CAE00	#7CAE00	0.357802242979844	0.720781716203466	Q2
0.7912	#7CAE00	#7CAE00	0.353290823358451	0.734238649568564	Q2
0.6488	#7CAE00	#7CAE00	0.461337148552942	0.570158942981844	Q2
0.7968	#7CAE00	#7CAE00	0.242289202579124	0.545939085724437	Q2
0.7184	#7CAE00	#7CAE00	0.356311994758759	0.577969895338254	Q2
0.628	#7CAE00	#7CAE00	0.479357800612157	0.547394714693301	Q2
0.8088	#7CAE00	#7CAE00	0.294820476971478	0.713095663163417	Q2
0.7208	#7CAE00	#7CAE00	0.407989614346309	0.655098881689112	Q2
0.6432	#7CAE00	#7CAE00	0.451929465094888	0.542891009677695	Q2
0.68	#7CAE00	#7CAE00	0.398425415461709	0.522177136416794	Q2
0.824	#7CAE00	#7CAE00	0.217773653326188	0.613813450516846	Q2
0.8368	#7CAE00	#7CAE00	0.240729441993547	0.70237662475961	Q2
0.8776	#7CAE00	#7CAE00	0.217027502334255	0.76486757242257	Q2
0.7544	#7CAE00	#7CAE00	0.343266506283419	0.655038287945729	Q2
0.6416	#7CAE00	#7CAE00	0.469365889395469	0.563720359289807	Q2
0.6464	#7CAE00	#7CAE00	0.443574400991415	0.526294932464553	Q2
0.6904	#7CAE00	#7CAE00	0.447549036966335	0.631491520717581	Q2
0.8168	#7CAE00	#7CAE00	0.397043396568194	0.800286464698367	Q2
0.8968	#7CAE00	#7CAE00	0.345507763683582	0.898349418435844	Q2
