colour	fill	size	x	y	clickSelects
#00BFC4	#00BFC4	2.36	0.397498226650124	0.397786287659481	Q3
#00BFC4	#00BFC4	2.88	0.355298380736456	0.36644941953936	Q3
#00BFC4	#00BFC4	3.12	0.450163800487206	0.231786693173089	Q3
#00BFC4	#00BFC4	4.23	0.355829855703723	0.154012546049626	Q3
#00BFC4	#00BFC4	4.72	0.235919778629809	0.206766108795829	Q3
#00BFC4	#00BFC4	2.5	0.410138220853816	0.343053800560824	Q3
#00BFC4	#00BFC4	1.38	0.483590628836365	0.445933758917154	Q3
#00BFC4	#00BFC4	3.1	0.482732112445614	0.222483295681136	Q3
#00BFC4	#00BFC4	3.91	0.258122865290858	0.34248662426597	Q3
#00BFC4	#00BFC4	3.88	0.26988847852541	0.318621654760361	Q3
#00BFC4	#00BFC4	2.2	0.435545360657459	0.359024373653383	Q3
#00BFC4	#00BFC4	2.52	0.479279479041835	0.287737833228073	Q3
#00BFC4	#00BFC4	5.71	0.0692829434290386	0.419753498802934	Q3
#00BFC4	#00BFC4	2.56	0.487675707744885	0.280009047281617	Q3
#00BFC4	#00BFC4	1.96	0.440287756362067	0.395712595534348	Q3
#00BFC4	#00BFC4	3.02	0.354144284233803	0.335178092434567	Q3
#00BFC4	#00BFC4	2.42	0.383863543722325	0.445076331345582	Q3
#00BFC4	#00BFC4	1.8	0.458587525627734	0.394792052072923	Q3
#00BFC4	#00BFC4	2.55	0.372037427651839	0.440776062228507	Q3
#00BFC4	#00BFC4	1.89	0.439098976184328	0.415491388751546	Q3
#00BFC4	#00BFC4	1.08	0.516230844492437	0.436055088336367	Q3
#00BFC4	#00BFC4	1.71	0.514029662755405	0.366223039451405	Q3
#00BFC4	#00BFC4	2.78	0.431097311405177	0.282746857213405	Q3
#00BFC4	#00BFC4	2.29	0.520751109374404	0.304080002234434	Q3
#00BFC4	#00BFC4	4.16	0.490271419288137	0.107424269399801	Q3
#00BFC4	#00BFC4	1.33	0.495753281272932	0.422354884984251	Q3
#00BFC4	#00BFC4	1.17	0.50501325991073	0.439148826563486	Q3
#00BFC4	#00BFC4	3.18	0.445810702532406	0.227193823591886	Q3
#00BFC4	#00BFC4	1.99	0.483636140388345	0.346244733201151	Q3
#00BFC4	#00BFC4	2.12	0.478832760282897	0.333692710424392	Q3
#00BFC4	#00BFC4	2.58	0.433719709309311	0.306201741609033	Q3
#00BFC4	#00BFC4	3.99	0.435816727327666	0.139153514538739	Q3
#00BFC4	#00BFC4	2.54	0.389671387460703	0.369611628079177	Q3
#00BFC4	#00BFC4	3.23	0.366562162859313	0.280334956037894	Q3
#00BFC4	#00BFC4	1.93	0.453637735766228	0.378583664027035	Q3
#00BFC4	#00BFC4	2.75	0.386885310687436	0.332997427686249	Q3
#00BFC4	#00BFC4	3.36	0.304934879826991	0.369513831370448	Q3
#00BFC4	#00BFC4	3.48	0.369891506980768	0.240764164323926	Q3
#00BFC4	#00BFC4	3.95	0.389512948492946	0.165460231979143	Q3
