alpha	colour	fill	x	y	clickSelects	showSelected
0.1	#F8766D	#F8766D	0.682852294680399	0.668260588617753	Q1	Q1
0.1	#F8766D	#F8766D	0.519204196351118	0.529479394824843	Q1	Q1
0.1	#F8766D	#F8766D	0.56811139295989	0.665746165312446	Q1	Q1
0.1	#F8766D	#F8766D	0.777539892676284	0.523789682040473	Q1	Q1
0.1	#F8766D	#F8766D	0.512761894386745	0.579885908742824	Q1	Q1
0.1	#F8766D	#F8766D	0.64633219367801	0.52239135111193	Q1	Q1
0.1	#F8766D	#F8766D	0.520558055099505	0.663760818702794	Q1	Q1
0.1	#F8766D	#F8766D	0.595182382874882	0.555071370428927	Q1	Q1
0.1	#F8766D	#F8766D	0.617351673114949	0.740684013077208	Q1	Q1
0.1	#F8766D	#F8766D	0.572410447907807	0.526632672023285	Q1	Q1
0.1	#F8766D	#F8766D	0.572076501994222	0.648596992378092	Q1	Q1
0.1	#F8766D	#F8766D	0.533014893224	0.562046629033758	Q1	Q1
0.1	#F8766D	#F8766D	0.519645011151429	0.693311549498895	Q1	Q1
0.1	#F8766D	#F8766D	0.524871418534679	0.615876017604639	Q1	Q1
0.1	#F8766D	#F8766D	0.552821383097237	0.672376834469575	Q1	Q1
0.1	#F8766D	#F8766D	0.713809480987992	0.696204644491372	Q1	Q1
0.1	#F8766D	#F8766D	0.766419903224093	0.661002737844532	Q1	Q1
0.1	#F8766D	#F8766D	0.523056341253255	0.869676397290733	Q1	Q1
0.1	#F8766D	#F8766D	0.59312484231869	0.656858203154433	Q1	Q1
0.1	#F8766D	#F8766D	0.649924344177663	0.524684445838861	Q1	Q1
0.1	#F8766D	#F8766D	0.505206645803524	0.570651062841259	Q1	Q1
0.1	#F8766D	#F8766D	0.809719455691936	0.606635013391719	Q1	Q1
0.1	#F8766D	#F8766D	0.629948801749004	0.734204194973655	Q1	Q1
0.1	#F8766D	#F8766D	0.551070052702905	0.678430331146852	Q1	Q1
0.1	#F8766D	#F8766D	0.713001156182358	0.579602452442058	Q1	Q1
0.1	#F8766D	#F8766D	0.778027059519852	0.612892108389698	Q1	Q1
0.1	#F8766D	#F8766D	0.557008900247076	0.591162451962906	Q1	Q1
0.1	#F8766D	#F8766D	0.548772991372649	0.525693021625809	Q1	Q1
0.1	#F8766D	#F8766D	0.563850067347565	0.627271561437985	Q1	Q1
0.1	#F8766D	#F8766D	0.608540423853245	0.792887783940735	Q1	Q1
0.1	#F8766D	#F8766D	0.522992356411845	0.52808908587193	Q1	Q1
0.1	#F8766D	#F8766D	0.654012709152041	0.661278994948095	Q1	Q1
0.1	#F8766D	#F8766D	0.53850831807433	0.83089989069197	Q1	Q1
0.1	#F8766D	#F8766D	0.60082507986626	0.649708945005942	Q1	Q1
0.1	#F8766D	#F8766D	0.598482530270925	0.693893419588409	Q1	Q1
0.1	#F8766D	#F8766D	0.612651286521251	0.689461013292177	Q1	Q1
