alpha	colour	fill	x	y
0.1	#F8766D	#F8766D	0.51782268210039	0.668193828198334
0.1	#F8766D	#F8766D	0.612337652260085	0.582497834329877
0.1	#F8766D	#F8766D	0.545230693132871	0.543040168305805
0.1	#F8766D	#F8766D	0.642151032461073	0.56291553107429
0.1	#F8766D	#F8766D	0.58267754815236	0.63208601191395
0.1	#F8766D	#F8766D	0.709171991255086	0.550761406306889
0.1	#F8766D	#F8766D	0.554319361888493	0.620805573860592
0.1	#F8766D	#F8766D	0.697030936433549	0.866024293426525
0.1	#F8766D	#F8766D	0.523330744279861	0.60859926491442
0.1	#F8766D	#F8766D	0.736519309652523	0.614305039885613
0.1	#F8766D	#F8766D	0.73738326441361	0.791033803584508
0.1	#F8766D	#F8766D	0.686606744973532	0.571989069988968
0.1	#F8766D	#F8766D	0.611565837679488	0.77792516680885
0.1	#F8766D	#F8766D	0.696676486761868	0.650046866244312
0.1	#F8766D	#F8766D	0.781357214331773	0.803078781523133
0.1	#F8766D	#F8766D	0.607332156771365	0.666943461711817
0.1	#F8766D	#F8766D	0.589833193471722	0.565090202948664
0.1	#F8766D	#F8766D	0.590351663953703	0.64671583271059
0.1	#F8766D	#F8766D	0.616589286719436	0.642226439717576
0.1	#F8766D	#F8766D	0.702371595731717	0.671917981972122
0.1	#F8766D	#F8766D	0.509893756380778	0.633348586421718
0.1	#F8766D	#F8766D	0.811671373106613	0.729822595638455
0.1	#F8766D	#F8766D	0.572644926119183	0.553841251054747
0.1	#F8766D	#F8766D	0.541096729628799	0.563397686301463
0.1	#F8766D	#F8766D	0.688771227135471	0.676515516809855
0.1	#F8766D	#F8766D	0.55358393869613	0.609467405655215
0.1	#F8766D	#F8766D	0.598521392398418	0.642305995623584
0.1	#F8766D	#F8766D	0.62529767949383	0.702450900865774
0.1	#F8766D	#F8766D	0.63791109336578	0.523372133788677
0.1	#F8766D	#F8766D	0.517616664446983	0.522826619744153
0.1	#F8766D	#F8766D	0.684848368239355	0.534303254790119
0.1	#F8766D	#F8766D	0.675924873537987	0.681756891467771
0.1	#F8766D	#F8766D	0.755731310041435	0.527096688929845
0.1	#F8766D	#F8766D	0.652277524064524	0.572085666324321
0.1	#F8766D	#F8766D	0.715863582038952	0.571270303531187
0.1	#F8766D	#F8766D	0.564400449669004	0.5953819542433
0.1	#F8766D	#F8766D	0.750403643366357	0.634607310349091
0.1	#F8766D	#F8766D	0.744960243394055	0.723823406762058
0.1	#F8766D	#F8766D	0.563911950258533	0.652471690841989
0.1	#F8766D	#F8766D	0.591782555842372	0.817604238385735
0.1	#F8766D	#F8766D	0.774172766644548	0.533368916394979
0.1	#F8766D	#F8766D	0.564953332935502	0.653586788998553
0.1	#F8766D	#F8766D	0.599100312592424	0.731226961657465
0.1	#F8766D	#F8766D	0.666606553796408	0.574273493662067
0.1	#F8766D	#F8766D	0.587601447791091	0.659821501009324
0.1	#F8766D	#F8766D	0.643702276495063	0.627882396757764
0.1	#F8766D	#F8766D	0.68194535593069	0.701116166818344
0.1	#F8766D	#F8766D	0.685917364204087	0.683432902487238
0.1	#F8766D	#F8766D	0.599199500112434	0.528791849130931
0.1	#F8766D	#F8766D	0.603742454799958	0.557925500991097
0.1	#F8766D	#F8766D	0.59762258847355	0.544287851901601
0.1	#F8766D	#F8766D	0.57056596248738	0.568076166387848
0.1	#F8766D	#F8766D	0.593630194885112	0.534687892267277
0.1	#F8766D	#F8766D	0.662629189907476	0.581292754289028
0.1	#F8766D	#F8766D	0.841197817960532	0.632458766734143
0.1	#F8766D	#F8766D	0.685571174276291	0.542908398338656
0.1	#F8766D	#F8766D	0.588863579487577	0.809323456795747
0.1	#F8766D	#F8766D	0.710603226977295	0.590785243696438
0.1	#F8766D	#F8766D	0.650096329558602	0.526282640746233
0.1	#F8766D	#F8766D	0.623340178678986	0.610268122039779
0.1	#F8766D	#F8766D	0.555918093203391	0.662544275802607
0.1	#F8766D	#F8766D	0.553846134751092	0.592850619334327
0.1	#F8766D	#F8766D	0.585903821262991	0.672720504371701
0.1	#F8766D	#F8766D	0.597234400075599	0.816384451898534
0.1	#F8766D	#F8766D	0.585784590129601	0.538376573198802
0.1	#F8766D	#F8766D	0.522962980123666	0.547331342943598
0.1	#F8766D	#F8766D	0.592235148743392	0.613780687129436
0.1	#F8766D	#F8766D	0.745941065260562	0.571584033721325
0.1	#F8766D	#F8766D	0.551338989615611	0.538129358832849
0.1	#F8766D	#F8766D	0.649017280179628	0.538950555118575
0.1	#F8766D	#F8766D	0.688298262928171	0.54375237138392
0.1	#F8766D	#F8766D	0.707928076629183	0.572170824718133
0.1	#F8766D	#F8766D	0.510985987899184	0.594269400122986
0.1	#F8766D	#F8766D	0.606289087170272	0.745301938444261
0.1	#F8766D	#F8766D	0.605719665234849	0.703521380179629
0.1	#F8766D	#F8766D	0.511711831554853	0.60695041000985
0.1	#F8766D	#F8766D	0.678972200540595	0.631694867856636
0.1	#F8766D	#F8766D	0.508219355125345	0.624947552502741
0.1	#F8766D	#F8766D	0.530924800486092	0.588001559850639
0.1	#F8766D	#F8766D	0.539942957568747	0.76680065600812
0.1	#F8766D	#F8766D	0.546509864375278	0.524980125710661
0.1	#F8766D	#F8766D	0.599432530600998	0.698056117861998
0.1	#F8766D	#F8766D	0.648884911974266	0.607155940257841
0.1	#F8766D	#F8766D	0.556661170578534	0.589409860618825
0.1	#F8766D	#F8766D	0.710272546892081	0.769088429712233
0.1	#F8766D	#F8766D	0.520703298721813	0.88530747795345
0.1	#F8766D	#F8766D	0.899430201567235	0.589357458526888
0.1	#F8766D	#F8766D	0.666674405159283	0.558597485646875
0.1	#F8766D	#F8766D	0.52980439904714	0.567015632056436
0.1	#F8766D	#F8766D	0.576533334390867	0.560261463685331
0.1	#F8766D	#F8766D	0.695691664590975	0.63965232277816
0.1	#F8766D	#F8766D	0.701441857088943	0.688955016682935
0.1	#F8766D	#F8766D	0.592486738361553	0.522564803444783
0.1	#F8766D	#F8766D	0.517965581039111	0.667210641368324
0.1	#F8766D	#F8766D	0.763587576766526	0.62759665552059
0.1	#F8766D	#F8766D	0.563122068931518	0.640235643791469
0.1	#F8766D	#F8766D	0.530557982703265	0.799192647805225
0.1	#F8766D	#F8766D	0.541287191628387	0.561545541264999
0.1	#F8766D	#F8766D	0.828497505991742	0.63261889389428
0.1	#F8766D	#F8766D	0.588489939942458	0.576533320862244
0.1	#F8766D	#F8766D	0.61490065774451	0.754830923601597
0.1	#F8766D	#F8766D	0.588880546946423	0.536506566712629
0.1	#F8766D	#F8766D	0.623053300420041	0.539687638654585
0.1	#F8766D	#F8766D	0.533258817826608	0.611035167617195
0.1	#F8766D	#F8766D	0.545721589930936	0.628001228044203
0.1	#F8766D	#F8766D	0.529766896509299	0.711728117950538
0.1	#F8766D	#F8766D	0.556812126388274	0.552142738053671
0.1	#F8766D	#F8766D	0.529577986943404	0.582831618851706
0.1	#F8766D	#F8766D	0.777118950442414	0.724909395635726
0.1	#F8766D	#F8766D	0.510710184224789	0.820079293174375
0.1	#F8766D	#F8766D	0.596900382001493	0.711137059490903
0.1	#F8766D	#F8766D	0.643111084853587	0.619085208130566
0.1	#F8766D	#F8766D	0.528917825864321	0.560927644934599
0.1	#F8766D	#F8766D	0.509777849452637	0.55330011317731
0.1	#F8766D	#F8766D	0.553200823620888	0.532641838799363
0.1	#F8766D	#F8766D	0.587644104377892	0.639571010016162
0.1	#F8766D	#F8766D	0.536187008058824	0.523193991805608
0.1	#F8766D	#F8766D	0.665324052981566	0.58362508637778
0.1	#F8766D	#F8766D	0.598854374940641	0.62621250919417
0.1	#F8766D	#F8766D	0.674163197517714	0.625226457982866
0.1	#F8766D	#F8766D	0.634630579459478	0.606104809855166
0.1	#F8766D	#F8766D	0.54669097316944	0.576231677046719
0.1	#F8766D	#F8766D	0.541783637645387	0.596193555161566
0.1	#F8766D	#F8766D	0.74447238818318	0.659512320072945
0.1	#F8766D	#F8766D	0.576964558289051	0.538816890359328
0.1	#F8766D	#F8766D	0.509484457411363	0.65214703306156
0.1	#F8766D	#F8766D	0.574965275940926	0.596930724307903
0.1	#F8766D	#F8766D	0.659213501929367	0.694354123911223
0.1	#F8766D	#F8766D	0.509850798564668	0.520143955333524
0.1	#F8766D	#F8766D	0.602629223810507	0.71628711751375
0.1	#F8766D	#F8766D	0.579659817827841	0.730990238062987
0.1	#F8766D	#F8766D	0.520851879133519	0.553136091573286
0.1	#F8766D	#F8766D	0.617877444263202	0.562323708519875
0.1	#F8766D	#F8766D	0.577532095745005	0.638710639718771
0.1	#F8766D	#F8766D	0.592309489034861	0.618179352572014
0.1	#F8766D	#F8766D	0.57096660102561	0.61958225731816
0.1	#F8766D	#F8766D	0.527280419150962	0.571051623031535
0.1	#F8766D	#F8766D	0.592610609640073	0.711301445358187
0.1	#F8766D	#F8766D	0.557257270544237	0.64944572399417
0.1	#F8766D	#F8766D	0.564570332413953	0.550529519187778
0.1	#F8766D	#F8766D	0.635968697888963	0.609774431690397
0.1	#F8766D	#F8766D	0.598907338140528	0.528955366399149
0.1	#F8766D	#F8766D	0.631896957149638	0.524474546014773
0.1	#F8766D	#F8766D	0.655667344639383	0.699719650685209
0.1	#F8766D	#F8766D	0.592392484780398	0.541410957655678
0.1	#F8766D	#F8766D	0.727386323462433	0.665764839880392
0.1	#F8766D	#F8766D	0.797365968875539	0.530596527890164
0.1	#F8766D	#F8766D	0.56199759933542	0.632021189558109
0.1	#F8766D	#F8766D	0.594483135736639	0.605180284250802
0.1	#F8766D	#F8766D	0.642290529367474	0.607279950959378
0.1	#F8766D	#F8766D	0.597022181067228	0.732362979229327
0.1	#F8766D	#F8766D	0.542259007889112	0.551466374582984
0.1	#F8766D	#F8766D	0.635434609816386	0.665315830661491
0.1	#F8766D	#F8766D	0.570236462380314	0.603784874527534
0.1	#F8766D	#F8766D	0.57151380810202	0.625599314666205
0.1	#F8766D	#F8766D	0.601218786923856	0.661823682364166
0.1	#F8766D	#F8766D	0.769826249962372	0.572524322811327
0.1	#F8766D	#F8766D	0.525334147517484	0.754305828399098
0.1	#F8766D	#F8766D	0.538779203462151	0.608246853331106
0.1	#F8766D	#F8766D	0.648927409967923	0.668998284539728
0.1	#F8766D	#F8766D	0.539797229709394	0.707284764597344
0.1	#F8766D	#F8766D	0.572408537108184	0.558382362757606
0.1	#F8766D	#F8766D	0.591624050208841	0.606343101397543
0.1	#F8766D	#F8766D	0.69702538598416	0.565788529646307
0.1	#F8766D	#F8766D	0.508136989766825	0.55905051352313
0.1	#F8766D	#F8766D	0.600923693430472	0.691828244483303
0.1	#F8766D	#F8766D	0.57747714749853	0.66036241969455
0.1	#F8766D	#F8766D	0.686651192367068	0.525541111955567
0.1	#F8766D	#F8766D	0.687396588827049	0.622094783091076
0.1	#F8766D	#F8766D	0.700954434027037	0.527769304789428
0.1	#F8766D	#F8766D	0.612267712256223	0.667813353264045
0.1	#F8766D	#F8766D	0.734827371734294	0.630884806926482
0.1	#F8766D	#F8766D	0.51197418008401	0.954545454545455
0.1	#F8766D	#F8766D	0.629641901101383	0.557306169058948
0.1	#F8766D	#F8766D	0.681007161446422	0.525052295851581
0.1	#F8766D	#F8766D	0.6150709318622	0.918101809797539
