colour	fill	x	y	clickSelects
#C77CFF	#C77CFF	0.566052576325005	0.420864317029983	Q4
#C77CFF	#C77CFF	0.583597264615112	0.483799994363338	Q4
#C77CFF	#C77CFF	0.548326415016193	0.517951415732462	Q4
#C77CFF	#C77CFF	0.730876266807788	0.356190980298803	Q4
#C77CFF	#C77CFF	0.575845039807565	0.30682195921573	Q4
#C77CFF	#C77CFF	0.523045345123215	0.418142368390322	Q4
#C77CFF	#C77CFF	0.63815305040278	0.47530289973991	Q4
#C77CFF	#C77CFF	0.699539731183773	0.370325237386975	Q4
#C77CFF	#C77CFF	0.727115098471009	0.396722345997887	Q4
#C77CFF	#C77CFF	0.756033320489156	0.486897364677054	Q4
#C77CFF	#C77CFF	0.58451078533217	0.482532170578545	Q4
#C77CFF	#C77CFF	0.522067653136691	0.503876980856114	Q4
#C77CFF	#C77CFF	0.671201095683735	0.381326050584674	Q4
#C77CFF	#C77CFF	0.538667347721891	0.479589516593481	Q4
#C77CFF	#C77CFF	0.623337476361823	0.207501391907702	Q4
#C77CFF	#C77CFF	0.525579966775824	0.498060494882704	Q4
#C77CFF	#C77CFF	0.678957524011743	0.405781329432032	Q4
#C77CFF	#C77CFF	0.514637826335606	0.217351089107782	Q4
#C77CFF	#C77CFF	0.55100158974178	0.192144432711891	Q4
#C77CFF	#C77CFF	0.570683827048739	0.252681634276949	Q4
#C77CFF	#C77CFF	0.708750918376188	0.513505167726699	Q4
#C77CFF	#C77CFF	0.793357209823962	0.241305788719966	Q4
#C77CFF	#C77CFF	0.770695005355873	0.370978479907642	Q4
#C77CFF	#C77CFF	0.684777361598998	0.508446353499085	Q4
#C77CFF	#C77CFF	0.508710128522479	0.502810641704859	Q4
#C77CFF	#C77CFF	0.593166676757821	0.245739429522642	Q4
#C77CFF	#C77CFF	0.54472096523185	0.49030385133797	Q4
#C77CFF	#C77CFF	0.592312634638263	0.515771517667188	Q4
#C77CFF	#C77CFF	0.517893078350738	0.43830138329733	Q4
#C77CFF	#C77CFF	0.710409473989306	0.255142047599129	Q4
#C77CFF	#C77CFF	0.614214611453614	0.492261085923417	Q4
#C77CFF	#C77CFF	0.815236389467754	0.282364359934638	Q4
#C77CFF	#C77CFF	0.673881119603737	0.46398969816061	Q4
#C77CFF	#C77CFF	0.699122170531496	0.436610129541884	Q4
#C77CFF	#C77CFF	0.706447477407165	0.470770210935445	Q4
#C77CFF	#C77CFF	0.588024623011391	0.313830580056131	Q4
#C77CFF	#C77CFF	0.51560957707982	0.499762865370558	Q4
#C77CFF	#C77CFF	0.528322665673826	0.34223774817415	Q4
#C77CFF	#C77CFF	0.679857898970983	0.330580027367807	Q4
#C77CFF	#C77CFF	0.671778550429027	0.492997890489473	Q4
#C77CFF	#C77CFF	0.748296674871283	0.506281516162312	Q4
#C77CFF	#C77CFF	0.588263809411445	0.373215718106014	Q4
#C77CFF	#C77CFF	0.58104229221992	0.329552827383308	Q4
#C77CFF	#C77CFF	0.654828052035629	0.411561429826053	Q4
#C77CFF	#C77CFF	0.517240633410069	0.363702883469416	Q4
#C77CFF	#C77CFF	0.645194061125547	0.316606400763932	Q4
#C77CFF	#C77CFF	0.547212223842831	0.309101530047406	Q4
#C77CFF	#C77CFF	0.533949692203979	0.257730342290073	Q4
#C77CFF	#C77CFF	0.550512314246957	0.443074225631566	Q4
#C77CFF	#C77CFF	0.556872989482896	0.407578358291138	Q4
#C77CFF	#C77CFF	0.594605502842718	0.405543389902666	Q4
#C77CFF	#C77CFF	0.574420610003555	0.481865878733899	Q4
#C77CFF	#C77CFF	0.535619046855303	0.30789330830162	Q4
#C77CFF	#C77CFF	0.674152205137745	0.310126048367279	Q4
#C77CFF	#C77CFF	0.602603834523612	0.516678811914126	Q4
#C77CFF	#C77CFF	0.549401330700111	0.492738499871359	Q4
#C77CFF	#C77CFF	0.623822581680582	0.459530859687925	Q4
#C77CFF	#C77CFF	0.71024829482325	0.462574986075866	Q4
#C77CFF	#C77CFF	0.509670885265955	0.488840604167316	Q4
#C77CFF	#C77CFF	0.574855665328454	0.329005996117269	Q4
#C77CFF	#C77CFF	0.664541855760041	0.411527348137387	Q4
#C77CFF	#C77CFF	0.75998184953846	0.439614350142152	Q4
#C77CFF	#C77CFF	0.685226004201183	0.334601376422543	Q4
