colour	fill	size	x	y	clickSelects
#F8766D	#F8766D	2.37	0.418332030507191	0.563325330894477	Q1
#F8766D	#F8766D	2.17	0.557105192457355	0.476603322628368	Q1
#F8766D	#F8766D	2.12	0.426945112927802	0.535787090266024	Q1
#F8766D	#F8766D	1.41	0.463397205062446	0.437244416901866	Q1
#F8766D	#F8766D	2.7	0.635154302673189	0.485209708703449	Q1
#F8766D	#F8766D	2.12	0.552010828439153	0.473952481883035	Q1
#F8766D	#F8766D	4.13	0.54217419079876	0.746544958481959	Q1
#F8766D	#F8766D	1.54	0.472265095879317	0.450504081960398	Q1
#F8766D	#F8766D	2.28	0.417392514571994	0.554048801683559	Q1
#F8766D	#F8766D	4.89	0.954545454545455	0.475532334850053	Q1
#F8766D	#F8766D	2.08	0.537158535368104	0.482698189642758	Q1
#F8766D	#F8766D	2.02	0.435917753154311	0.522803995978668	Q1
#F8766D	#F8766D	1.95	0.422047716301006	0.51600838953073	Q1
#F8766D	#F8766D	2.05	0.417034080529414	0.527141207788626	Q1
#F8766D	#F8766D	1.64	0.505425026730443	0.424614161301537	Q1
#F8766D	#F8766D	2.02	0.524868243200173	0.484847717537875	Q1
#F8766D	#F8766D	1.84	0.51948098282308	0.457126012275477	Q1
#F8766D	#F8766D	3.53	0.526825656571955	0.68007381551749	Q1
#F8766D	#F8766D	1.72	0.518936423657248	0.41899541788764	Q1
#F8766D	#F8766D	2.39	0.435449691453536	0.565433503893469	Q1
#F8766D	#F8766D	1.62	0.500651322456369	0.430958196747941	Q1
#F8766D	#F8766D	4.03	0.542145587602825	0.735273592563018	Q1
#F8766D	#F8766D	2.31	0.499903349895346	0.541077778684836	Q1
#F8766D	#F8766D	1.46	0.483196098535609	0.413236755536699	Q1
#F8766D	#F8766D	2.07	0.552980701801683	0.461607028897787	Q1
#F8766D	#F8766D	1.45	0.481777087430849	0.4092912040134	Q1
#F8766D	#F8766D	2.16	0.508521675832589	0.516368103371273	Q1
#F8766D	#F8766D	2.1	0.573159916672613	0.409404017272656	Q1
#F8766D	#F8766D	2.42	0.507858504058921	0.551069298824408	Q1
#F8766D	#F8766D	1.89	0.535496725057134	0.441443778518888	Q1
#F8766D	#F8766D	2.08	0.561434569787112	0.448369075047759	Q1
#F8766D	#F8766D	1.44	0.464851991628425	0.44152329779578	Q1
#F8766D	#F8766D	2.75	0.622839057767432	0.516153889070138	Q1
#F8766D	#F8766D	2.11	0.479574269928004	0.524015646406967	Q1
#F8766D	#F8766D	2.48	0.572464693163487	0.518587633024373	Q1
#F8766D	#F8766D	2.22	0.52558830747059	0.515058791213325	Q1
#F8766D	#F8766D	2.94	0.636993926467046	0.537297230360344	Q1
#F8766D	#F8766D	2.04	0.467165016080721	0.518590913610838	Q1
#F8766D	#F8766D	2.19	0.575292563795946	0.452751565705089	Q1
#F8766D	#F8766D	2.45	0.448682181281556	0.570383325448885	Q1
#F8766D	#F8766D	2.62	0.632388317192554	0.466315887110595	Q1
#F8766D	#F8766D	2.51	0.574855230105544	0.522689291632652	Q1
#F8766D	#F8766D	1.57	0.454348248560445	0.46589088281557	Q1
#F8766D	#F8766D	2.58	0.614170773171345	0.489072397653425	Q1
#F8766D	#F8766D	1.84	0.491619545609922	0.481610883955734	Q1
#F8766D	#F8766D	1.95	0.535488982045293	0.459498546936557	Q1
#F8766D	#F8766D	2.36	0.581429929999968	0.487159728685839	Q1
#F8766D	#F8766D	1.32	0.46366436297597	0.407028249360637	Q1
#F8766D	#F8766D	2.03	0.537888669844482	0.472600634741876	Q1
#F8766D	#F8766D	2.09	0.556715315216587	0.459106821722572	Q1
#F8766D	#F8766D	2.16	0.539565180659713	0.494418985577235	Q1
#F8766D	#F8766D	3.67	0.77589018953547	0.491776822435734	Q1
#F8766D	#F8766D	1.47	0.441811364918681	0.458533015797724	Q1
#F8766D	#F8766D	1.28	0.454405994977637	0.419971853013309	Q1
#F8766D	#F8766D	1.92	0.540707406307138	0.441525559507457	Q1
#F8766D	#F8766D	2.35	0.560892126184818	0.50792478938124	Q1
#F8766D	#F8766D	1.6	0.491854136190561	0.441029116501728	Q1
#F8766D	#F8766D	2.03	0.558209921815619	0.436176131812171	Q1
#F8766D	#F8766D	1.35	0.431354936712791	0.447114747721384	Q1
#F8766D	#F8766D	2.1	0.572034114259441	0.422950470497724	Q1
#F8766D	#F8766D	2.22	0.583998946055258	0.441611078787444	Q1
#F8766D	#F8766D	2.17	0.433727326512156	0.539844628175731	Q1
#F8766D	#F8766D	2.01	0.524588437653786	0.48243888130897	Q1
#F8766D	#F8766D	3.01	0.417272431890884	0.635474497729907	Q1
#F8766D	#F8766D	2.8	0.668691541213088	0.43269700081018	Q1
#F8766D	#F8766D	2.61	0.616765031314858	0.493570953650012	Q1
#F8766D	#F8766D	2.89	0.633054654500536	0.531175054846805	Q1
#F8766D	#F8766D	1.16	0.43123835108324	0.422818248988844	Q1
#F8766D	#F8766D	2.2	0.562444845750676	0.476325283084311	Q1
#F8766D	#F8766D	1.87	0.539502806529968	0.419529735720301	Q1
#F8766D	#F8766D	2.91	0.678417464539735	0.456815363539055	Q1
#F8766D	#F8766D	1.53	0.460234053955339	0.457891515474453	Q1
#F8766D	#F8766D	2.14	0.483826157812112	0.525788443494745	Q1
#F8766D	#F8766D	1.91	0.497772201472884	0.487964264560603	Q1
#F8766D	#F8766D	3.5	0.468298668953087	0.688249700972308	Q1
#F8766D	#F8766D	3.64	0.782302429034755	0.453915324927161	Q1
#F8766D	#F8766D	3.63	0.654848490503442	0.633799658773738	Q1
#F8766D	#F8766D	1.68	0.513695060278375	0.415736392873237	Q1
#F8766D	#F8766D	2.18	0.472364872637505	0.534544441760039	Q1
#F8766D	#F8766D	1.87	0.516540638048822	0.466122684215682	Q1
#F8766D	#F8766D	1.74	0.449909705716152	0.48843326330104	Q1
#F8766D	#F8766D	2.36	0.543673999903013	0.523423027213853	Q1
#F8766D	#F8766D	2.19	0.553790200613729	0.48615002446906	Q1
#F8766D	#F8766D	1.89	0.447258845642391	0.506291558557537	Q1
#F8766D	#F8766D	2.51	0.514298959093321	0.559798921486338	Q1
#F8766D	#F8766D	2.84	0.519792713948573	0.598804462127591	Q1
#F8766D	#F8766D	2.82	0.548713400754136	0.584163436788875	Q1
#F8766D	#F8766D	1.58	0.465846278045677	0.46116461912636	Q1
#F8766D	#F8766D	2.22	0.522111867065434	0.51691706585772	Q1
#F8766D	#F8766D	1.51	0.486257755234505	0.426405190341969	Q1
#F8766D	#F8766D	2.49	0.555219206983962	0.53452182171104	Q1
#F8766D	#F8766D	1.65	0.51079619442276	0.407797258754841	Q1
#F8766D	#F8766D	3.15	0.585856722286157	0.608449754015484	Q1
#F8766D	#F8766D	1.31	0.442062905339375	0.437840638056549	Q1
#F8766D	#F8766D	3.29	0.70396699356257	0.522492670957391	Q1
#F8766D	#F8766D	2.57	0.584130375170786	0.52446934079041	Q1
#F8766D	#F8766D	1.91	0.448269949407972	0.508870744621013	Q1
#F8766D	#F8766D	2.57	0.635882910849667	0.43507800007795	Q1
#F8766D	#F8766D	2.82	0.671609271761765	0.42667587745458	Q1
#F8766D	#F8766D	1.65	0.428560141939505	0.481563342876597	Q1
#F8766D	#F8766D	2.13	0.486242020238565	0.523592925550005	Q1
#F8766D	#F8766D	2.89	0.683126618011112	0.40972112812867	Q1
#F8766D	#F8766D	1.95	0.474959681344121	0.505008465423788	Q1
#F8766D	#F8766D	2.48	0.471051436669595	0.569806080813181	Q1
#F8766D	#F8766D	1.18	0.444578016973295	0.408170091874516	Q1
#F8766D	#F8766D	1.74	0.509400060471128	0.448103306903533	Q1
#F8766D	#F8766D	3.15	0.590572066919493	0.607108036062462	Q1
#F8766D	#F8766D	1.87	0.417319750139984	0.507542686757931	Q1
#F8766D	#F8766D	2.24	0.568245315706639	0.477614249635765	Q1
#F8766D	#F8766D	1.43	0.45556336135674	0.4470331525631	Q1
#F8766D	#F8766D	2.26	0.576153636594678	0.470026737984825	Q1
#F8766D	#F8766D	1.51	0.452756342978743	0.459047219931538	Q1
#F8766D	#F8766D	2.98	0.604884167717132	0.573238957763203	Q1
#F8766D	#F8766D	2.17	0.578468055208694	0.437678639031622	Q1
#F8766D	#F8766D	1.27	0.419808093838158	0.44012240952041	Q1
#F8766D	#F8766D	1.97	0.541796112353486	0.452428652890667	Q1
#F8766D	#F8766D	1.75	0.520622768422246	0.426993757569926	Q1
#F8766D	#F8766D	1.68	0.481114477506422	0.465759255528816	Q1
#F8766D	#F8766D	1.3	0.458301646056516	0.419768923985726	Q1
#F8766D	#F8766D	1.7	0.515281089565816	0.418651222105076	Q1
#F8766D	#F8766D	2.32	0.519226201691178	0.532233076427807	Q1
#F8766D	#F8766D	2.28	0.465186874549349	0.547955801937749	Q1
#F8766D	#F8766D	2.08	0.548937936100074	0.469935867803721	Q1
#F8766D	#F8766D	2.07	0.460012771560518	0.524361400053367	Q1
#F8766D	#F8766D	2.09	0.45753383725874	0.528058601373681	Q1
#F8766D	#F8766D	1.88	0.495357105528949	0.486036141219012	Q1
#F8766D	#F8766D	2.54	0.503768639756478	0.568315920575793	Q1
#F8766D	#F8766D	2.74	0.574960308696061	0.558304137288052	Q1
#F8766D	#F8766D	2.24	0.584419066981073	0.447640565505296	Q1
#F8766D	#F8766D	1.85	0.522993834689828	0.453006439362362	Q1
#F8766D	#F8766D	1.5	0.489002067721057	0.410661056384269	Q1
#F8766D	#F8766D	1.16	0.431837516634938	0.42288545755203	Q1
#F8766D	#F8766D	1.55	0.489317569514348	0.432817448008144	Q1
#F8766D	#F8766D	1.27	0.452554859806138	0.421331050132029	Q1
#F8766D	#F8766D	2.58	0.453207813025676	0.584913322628946	Q1
#F8766D	#F8766D	2.43	0.606622517729118	0.461309223621352	Q1
#F8766D	#F8766D	2.36	0.556120034769107	0.514016888902992	Q1
#F8766D	#F8766D	1.71	0.496173608129728	0.457254355801956	Q1
#F8766D	#F8766D	1.22	0.435474447486547	0.429030295736626	Q1
#F8766D	#F8766D	1.65	0.487467368693622	0.45628743349577	Q1
#F8766D	#F8766D	2.92	0.546924467125512	0.59770864280479	Q1
#F8766D	#F8766D	3.48	0.743640038918466	0.502886308443715	Q1
#F8766D	#F8766D	2.2	0.491819034699922	0.530513082651684	Q1
#F8766D	#F8766D	1.55	0.466076207975337	0.456237534139685	Q1
#F8766D	#F8766D	1.81	0.510689666079926	0.460849944553882	Q1
#F8766D	#F8766D	1.33	0.464921756919658	0.41211787629783	Q1
#F8766D	#F8766D	1.97	0.538620767865667	0.45901642376589	Q1
#F8766D	#F8766D	1.49	0.487645835470934	0.409282024422347	Q1
#F8766D	#F8766D	2.42	0.617023042607076	0.414044524430961	Q1
#F8766D	#F8766D	2.15	0.524621892596585	0.505881111922318	Q1
#F8766D	#F8766D	2.18	0.465165993375392	0.536071168673728	Q1
#F8766D	#F8766D	1.72	0.452223963742527	0.484581915885232	Q1
#F8766D	#F8766D	3.62	0.749955963729159	0.532847372843145	Q1
#F8766D	#F8766D	4.66	0.762391964480104	0.712086281529652	Q1
#F8766D	#F8766D	4.15	0.438588164464878	0.763732255618948	Q1
#F8766D	#F8766D	1.97	0.534207049050155	0.464016347509742	Q1
#F8766D	#F8766D	1.5	0.46564635283401	0.450201521697296	Q1
#F8766D	#F8766D	2.2	0.56010181043146	0.481121319557481	Q1
#F8766D	#F8766D	2.5	0.60892727866523	0.478934275340184	Q1
#F8766D	#F8766D	2.09	0.569255197642485	0.42556320300683	Q1
#F8766D	#F8766D	3.11	0.70759296735624	0.455573822786338	Q1
#F8766D	#F8766D	1.19	0.444874487060533	0.414572432310216	Q1
#F8766D	#F8766D	2.35	0.607387040865221	0.420489436441511	Q1
#F8766D	#F8766D	2.17	0.569523450975323	0.458218556281468	Q1
#F8766D	#F8766D	1.71	0.496897843991992	0.457067687381041	Q1
#F8766D	#F8766D	1.97	0.444310161303429	0.51592392091781	Q1
#F8766D	#F8766D	2.87	0.623146888227581	0.538313173382996	Q1
#F8766D	#F8766D	2.67	0.525538305292051	0.576037916216868	Q1
#F8766D	#F8766D	1.44	0.463049380645679	0.44228288896528	Q1
#F8766D	#F8766D	2.04	0.527222416480392	0.486285306867483	Q1
#F8766D	#F8766D	3.09	0.637358467093414	0.563153403672229	Q1
#F8766D	#F8766D	1.65	0.499892050641572	0.439431898204552	Q1
#F8766D	#F8766D	1.56	0.475366173200047	0.45100147417189	Q1
#F8766D	#F8766D	1.36	0.433851430039028	0.447489115217363	Q1
#F8766D	#F8766D	2.93	0.480051719945086	0.620662952240296	Q1
#F8766D	#F8766D	1.61	0.476893624865231	0.45823119335324	Q1
#F8766D	#F8766D	2.01	0.431700563527723	0.522673034150672	Q1
#F8766D	#F8766D	2.84	0.674952956095584	0.416762296409243	Q1
#F8766D	#F8766D	2.69	0.642470522645581	0.468734954051123	Q1
#F8766D	#F8766D	2.56	0.617010799533336	0.479938603234678	Q1
#F8766D	#F8766D	3.26	0.734418907639377	0.411709697733578	Q1
#F8766D	#F8766D	2.49	0.547373320051252	0.539750670681692	Q1
#F8766D	#F8766D	2.94	0.685302221521519	0.443034939883845	Q1
#F8766D	#F8766D	1.66	0.452667120537373	0.477413903515233	Q1
#F8766D	#F8766D	2.29	0.462846720108982	0.550021045476765	Q1
#F8766D	#F8766D	2.15	0.541398377301153	0.491198707800366	Q1
#F8766D	#F8766D	1.57	0.447477236389972	0.468057426904	Q1
#F8766D	#F8766D	1.57	0.485434596669121	0.443949625640566	Q1
#F8766D	#F8766D	1.92	0.503427741971428	0.485919395060562	Q1
#F8766D	#F8766D	2.07	0.428259946013495	0.529313267330469	Q1
#F8766D	#F8766D	2.75	0.587150363783268	0.550397824489608	Q1
#F8766D	#F8766D	1.38	0.44817429677697	0.444470644388521	Q1
