alpha	colour	fill	x	y	clickSelects
0.7	#00BFC4	#00BFC4	0.247728899987473	0.488025549249282	Q3
0.7	#00BFC4	#00BFC4	0.358004709257071	0.388591901631221	Q3
0.7	#00BFC4	#00BFC4	0.311960643854934	0.285272095236086	Q3
0.7	#00BFC4	#00BFC4	0.438237149447141	0.388117406474155	Q3
0.7	#00BFC4	#00BFC4	0.441284197254559	0.245927838543627	Q3
0.7	#00BFC4	#00BFC4	0.422023916560401	0.332784496523774	Q3
0.7	#00BFC4	#00BFC4	0.477220226347918	0.410751364959095	Q3
0.7	#00BFC4	#00BFC4	0.491745989956709	0.482246580111648	Q3
0.7	#00BFC4	#00BFC4	0.333426194337281	0.480474647950875	Q3
0.7	#00BFC4	#00BFC4	0.409932652702265	0.456392559716438	Q3
0.7	#00BFC4	#00BFC4	0.494389042160361	0.23834729726668	Q3
0.7	#00BFC4	#00BFC4	0.503111093122435	0.369404614574281	Q3
0.7	#00BFC4	#00BFC4	0.36560988080755	0.365325288211832	Q3
0.7	#00BFC4	#00BFC4	0.19749842292836	0.29381901340182	Q3
0.7	#00BFC4	#00BFC4	0.341673565818977	0.460856251374082	Q3
0.7	#00BFC4	#00BFC4	0.41818927695325	0.30162029571746	Q3
0.7	#00BFC4	#00BFC4	0.0454545454545454	0.272693602884495	Q3
0.7	#00BFC4	#00BFC4	0.502409332945866	0.502851034912382	Q3
0.7	#00BFC4	#00BFC4	0.487366545964576	0.503769206020016	Q3
0.7	#00BFC4	#00BFC4	0.225083706360982	0.436669654715099	Q3
0.7	#00BFC4	#00BFC4	0.483242623753183	0.446625863205087	Q3
0.7	#00BFC4	#00BFC4	0.487190198646496	0.373380546281223	Q3
0.7	#00BFC4	#00BFC4	0.405990012215478	0.234018411434416	Q3
0.7	#00BFC4	#00BFC4	0.442216349321555	0.436468306326464	Q3
0.7	#00BFC4	#00BFC4	0.475057686339563	0.376438834893066	Q3
0.7	#00BFC4	#00BFC4	0.358712517801212	0.386689045854947	Q3
0.7	#00BFC4	#00BFC4	0.425200530965975	0.462887158863396	Q3
0.7	#00BFC4	#00BFC4	0.466272751756704	0.506137900276499	Q3
0.7	#00BFC4	#00BFC4	0.481929503505892	0.487471700275344	Q3
0.7	#00BFC4	#00BFC4	0.485235140280888	0.480905725578	Q3
0.7	#00BFC4	#00BFC4	0.300732646680899	0.383064726285076	Q3
0.7	#00BFC4	#00BFC4	0.436921970667382	0.472863693508049	Q3
0.7	#00BFC4	#00BFC4	0.498212950257852	0.429060316776082	Q3
0.7	#00BFC4	#00BFC4	0.35209579353516	0.477311574646174	Q3
0.7	#00BFC4	#00BFC4	0.505227000152626	0.383866086289665	Q3
0.7	#00BFC4	#00BFC4	0.429461386474689	0.496697967114051	Q3
0.7	#00BFC4	#00BFC4	0.465548047768954	0.382347206429888	Q3
0.7	#00BFC4	#00BFC4	0.214106724025972	0.405688197980172	Q3
0.7	#00BFC4	#00BFC4	0.39413943716871	0.502127871260592	Q3
0.7	#00BFC4	#00BFC4	0.459901076594334	0.472774252339117	Q3
0.7	#00BFC4	#00BFC4	0.486027242453913	0.481353111089964	Q3
0.7	#00BFC4	#00BFC4	0.431096698305382	0.297611370493062	Q3
0.7	#00BFC4	#00BFC4	0.463261101547069	0.331252280229439	Q3
0.7	#00BFC4	#00BFC4	0.323019448791285	0.423322971819743	Q3
0.7	#00BFC4	#00BFC4	0.465161752705713	0.460815726221897	Q3
0.7	#00BFC4	#00BFC4	0.476977031694368	0.230180860399768	Q3
0.7	#00BFC4	#00BFC4	0.394482366230643	0.462888647256218	Q3
0.7	#00BFC4	#00BFC4	0.293055429241075	0.331831862931018	Q3
0.7	#00BFC4	#00BFC4	0.43820519887168	0.390461876318262	Q3
0.7	#00BFC4	#00BFC4	0.419349359011141	0.403428708752432	Q3
0.7	#00BFC4	#00BFC4	0.458729951250228	0.433084022286489	Q3
0.7	#00BFC4	#00BFC4	0.47724494646961	0.494182017210919	Q3
0.7	#00BFC4	#00BFC4	0.372497917921175	0.391084056017923	Q3
0.7	#00BFC4	#00BFC4	0.474179585815127	0.426064230441558	Q3
0.7	#00BFC4	#00BFC4	0.451901789728478	0.512101570419768	Q3
0.7	#00BFC4	#00BFC4	0.312262845797473	0.341017992166796	Q3
0.7	#00BFC4	#00BFC4	0.348601492593132	0.197921753759509	Q3
0.7	#00BFC4	#00BFC4	0.461323482536857	0.399236670412125	Q3
0.7	#00BFC4	#00BFC4	0.404584890701774	0.405542714006991	Q3
0.7	#00BFC4	#00BFC4	0.488974321259786	0.390066527749656	Q3
0.7	#00BFC4	#00BFC4	0.388333588015809	0.436212325012985	Q3
0.7	#00BFC4	#00BFC4	0.319909613285718	0.462775460321445	Q3
0.7	#00BFC4	#00BFC4	0.458181718139548	0.385941720045977	Q3
0.7	#00BFC4	#00BFC4	0.447635347835995	0.345071477119348	Q3
0.7	#00BFC4	#00BFC4	0.450661333691607	0.481036492944152	Q3
0.7	#00BFC4	#00BFC4	0.439752021146695	0.421332514198088	Q3
0.7	#00BFC4	#00BFC4	0.387823215674936	0.317123870538109	Q3
0.7	#00BFC4	#00BFC4	0.233151321352644	0.499857054596975	Q3
0.7	#00BFC4	#00BFC4	0.338275336902596	0.460266931576475	Q3
0.7	#00BFC4	#00BFC4	0.393968319051456	0.472801415495677	Q3
0.7	#00BFC4	#00BFC4	0.391186781169748	0.397276248341265	Q3
0.7	#00BFC4	#00BFC4	0.504930814529448	0.417846536570968	Q3
0.7	#00BFC4	#00BFC4	0.256751713826324	0.41363630187213	Q3
0.7	#00BFC4	#00BFC4	0.428855092529643	0.427333325184749	Q3
0.7	#00BFC4	#00BFC4	0.342527033062349	0.46487397114046	Q3
0.7	#00BFC4	#00BFC4	0.413336252950292	0.467652826805324	Q3
0.7	#00BFC4	#00BFC4	0.412065558053617	0.248982941314294	Q3
0.7	#00BFC4	#00BFC4	0.408862477722122	0.338388623894119	Q3
0.7	#00BFC4	#00BFC4	0.411328881965477	0.271061059937921	Q3
0.7	#00BFC4	#00BFC4	0.295613079623447	0.499264598873	Q3
0.7	#00BFC4	#00BFC4	0.421137495245417	0.382451930160769	Q3
0.7	#00BFC4	#00BFC4	0.477070967019718	0.474943987345063	Q3
0.7	#00BFC4	#00BFC4	0.366115879063663	0.395168573952986	Q3
0.7	#00BFC4	#00BFC4	0.241367971755537	0.466362640505975	Q3
0.7	#00BFC4	#00BFC4	0.402602804664487	0.48142575017778	Q3
0.7	#00BFC4	#00BFC4	0.438842439369146	0.432407552864007	Q3
0.7	#00BFC4	#00BFC4	0.473068909377846	0.366814818407673	Q3
0.7	#00BFC4	#00BFC4	0.409850860759175	0.514990829262918	Q3
0.7	#00BFC4	#00BFC4	0.466410104997658	0.486007053947534	Q3
0.7	#00BFC4	#00BFC4	0.506833935787991	0.38833599148475	Q3
0.7	#00BFC4	#00BFC4	0.385057786004652	0.45970429527036	Q3
0.7	#00BFC4	#00BFC4	0.442589110106467	0.240347009787137	Q3
0.7	#00BFC4	#00BFC4	0.433889663037195	0.510473757653234	Q3
0.7	#00BFC4	#00BFC4	0.490166915198837	0.515974516841888	Q3
0.7	#00BFC4	#00BFC4	0.32728848924501	0.421347477642496	Q3
