alpha	colour	fill	x	y	clickSelects
0.4	#7CAE00	#7CAE00	0.44701396756843	0.63310059110404	Q2
0.4	#7CAE00	#7CAE00	0.306170997117399	0.576553885766314	Q2
0.4	#7CAE00	#7CAE00	0.267754946484513	0.687546473387794	Q2
0.4	#7CAE00	#7CAE00	0.529199362834836	0.761159577891268	Q2
0.4	#7CAE00	#7CAE00	0.492208256393524	0.728755467519128	Q2
0.4	#7CAE00	#7CAE00	0.432837498617028	0.605984335875845	Q2
0.4	#7CAE00	#7CAE00	0.279946931698379	0.558048464948113	Q2
0.4	#7CAE00	#7CAE00	0.316743929748165	0.658956716790566	Q2
0.4	#7CAE00	#7CAE00	0.240785731345865	0.670254984517064	Q2
0.4	#7CAE00	#7CAE00	0.466841327664385	0.706512569220426	Q2
0.4	#7CAE00	#7CAE00	0.358374006289793	0.593993828539837	Q2
0.4	#7CAE00	#7CAE00	0.515099237541992	0.614099298702758	Q2
0.4	#7CAE00	#7CAE00	0.476761017291245	0.720692564363657	Q2
0.4	#7CAE00	#7CAE00	0.366618915845219	0.626159203860014	Q2
0.4	#7CAE00	#7CAE00	0.249545343027952	0.834158195820903	Q2
0.4	#7CAE00	#7CAE00	0.477888174655748	0.546926084223482	Q2
0.4	#7CAE00	#7CAE00	0.205587026605039	0.705819148317987	Q2
0.4	#7CAE00	#7CAE00	0.495243117915713	0.564274019419916	Q2
0.4	#7CAE00	#7CAE00	0.50351144512415	0.598136433054235	Q2
0.4	#7CAE00	#7CAE00	0.235862882112591	0.565010865714743	Q2
0.4	#7CAE00	#7CAE00	0.466547406615322	0.617952205109277	Q2
0.4	#7CAE00	#7CAE00	0.432744813626636	0.636771944581839	Q2
0.4	#7CAE00	#7CAE00	0.386903693745348	0.686281248227378	Q2
0.4	#7CAE00	#7CAE00	0.44209468426638	0.645185337194755	Q2
0.4	#7CAE00	#7CAE00	0.519088816977363	0.57975151541091	Q2
0.4	#7CAE00	#7CAE00	0.276412611375759	0.571742213740044	Q2
0.4	#7CAE00	#7CAE00	0.464486974988453	0.581244610631143	Q2
0.4	#7CAE00	#7CAE00	0.152816287167707	0.616089780758918	Q2
0.4	#7CAE00	#7CAE00	0.399970872065491	0.618132969761467	Q2
0.4	#7CAE00	#7CAE00	0.477242083137923	0.542963251682557	Q2
0.4	#7CAE00	#7CAE00	0.484175443245705	0.62746102644261	Q2
0.4	#7CAE00	#7CAE00	0.367476956018	0.617312976634501	Q2
0.4	#7CAE00	#7CAE00	0.468241339204722	0.675689616463891	Q2
0.4	#7CAE00	#7CAE00	0.42759635707049	0.779691680880109	Q2
0.4	#7CAE00	#7CAE00	0.39864838533969	0.661415723132651	Q2
0.4	#7CAE00	#7CAE00	0.303297707456953	0.634014560700754	Q2
0.4	#7CAE00	#7CAE00	0.463425456043787	0.671362500069969	Q2
0.4	#7CAE00	#7CAE00	0.433939977848743	0.559480663131201	Q2
0.4	#7CAE00	#7CAE00	0.413918156070193	0.685074979197153	Q2
0.4	#7CAE00	#7CAE00	0.456097241067459	0.600660293315578	Q2
0.4	#7CAE00	#7CAE00	0.347039698489436	0.720542712150086	Q2
0.4	#7CAE00	#7CAE00	0.514327132704205	0.581903169529131	Q2
0.4	#7CAE00	#7CAE00	0.454913538423681	0.655582391310177	Q2
0.4	#7CAE00	#7CAE00	0.471638894312122	0.544301727045064	Q2
0.4	#7CAE00	#7CAE00	0.367942651645801	0.604915013616944	Q2
0.4	#7CAE00	#7CAE00	0.363676920785294	0.547925355542454	Q2
0.4	#7CAE00	#7CAE00	0.410481246759412	0.676513611377383	Q2
0.4	#7CAE00	#7CAE00	0.420489095331517	0.585869751645591	Q2
0.4	#7CAE00	#7CAE00	0.242952498611806	0.602018454709627	Q2
0.4	#7CAE00	#7CAE00	0.388581804830035	0.590270175997539	Q2
0.4	#7CAE00	#7CAE00	0.480599383773776	0.622959529557755	Q2
0.4	#7CAE00	#7CAE00	0.240211326058426	0.671468587674479	Q2
0.4	#7CAE00	#7CAE00	0.522724553652221	0.644722659851085	Q2
0.4	#7CAE00	#7CAE00	0.352710405235217	0.550411793701887	Q2
0.4	#7CAE00	#7CAE00	0.229303758238802	0.566527471960534	Q2
0.4	#7CAE00	#7CAE00	0.201067264388049	0.575352221239186	Q2
0.4	#7CAE00	#7CAE00	0.391207990452686	0.633858162093552	Q2
0.4	#7CAE00	#7CAE00	0.529043751752046	0.644347119995592	Q2
0.4	#7CAE00	#7CAE00	0.42661785577214	0.683625180096624	Q2
0.4	#7CAE00	#7CAE00	0.274561328235218	0.794636563719498	Q2
0.4	#7CAE00	#7CAE00	0.463708900224652	0.587979008101007	Q2
0.4	#7CAE00	#7CAE00	0.478350971857433	0.642093533468844	Q2
0.4	#7CAE00	#7CAE00	0.428953365472381	0.763171609598518	Q2
0.4	#7CAE00	#7CAE00	0.206891980964421	0.713844274637695	Q2
0.4	#7CAE00	#7CAE00	0.390745179795433	0.642269266099319	Q2
