colour	fill	x	y	clickSelects
#7CAE00	#7CAE00	0.462333174451274	0.704246810366741	Q2
#7CAE00	#7CAE00	0.403724609524213	0.79873799729212	Q2
#7CAE00	#7CAE00	0.417395377362149	0.64183907227101	Q2
#7CAE00	#7CAE00	0.422164626152712	0.691496003075542	Q2
#7CAE00	#7CAE00	0.432514526172199	0.873248347409855	Q2
#7CAE00	#7CAE00	0.468280905550807	0.618241369605141	Q2
#7CAE00	#7CAE00	0.43084467470989	0.570832974181058	Q2
#7CAE00	#7CAE00	0.360164933791354	0.667716465870897	Q2
#7CAE00	#7CAE00	0.384884753837321	0.583494193402884	Q2
#7CAE00	#7CAE00	0.450706208413064	0.738294538770087	Q2
#7CAE00	#7CAE00	0.465281790463154	0.786800599661595	Q2
#7CAE00	#7CAE00	0.302448848869349	0.582186966198574	Q2
#7CAE00	#7CAE00	0.454906494702214	0.671147470692779	Q2
#7CAE00	#7CAE00	0.408301927881699	0.576578382095039	Q2
#7CAE00	#7CAE00	0.379285703147034	0.61929964850996	Q2
#7CAE00	#7CAE00	0.47714974529414	0.696958891673308	Q2
#7CAE00	#7CAE00	0.421468359023651	0.70770967129537	Q2
#7CAE00	#7CAE00	0.353313435012542	0.916005443275946	Q2
#7CAE00	#7CAE00	0.310499335525638	0.595255940668591	Q2
#7CAE00	#7CAE00	0.448231114827106	0.630719198681648	Q2
#7CAE00	#7CAE00	0.404389623628355	0.710276034381615	Q2
#7CAE00	#7CAE00	0.430124569801322	0.762902640384429	Q2
#7CAE00	#7CAE00	0.414002901786852	0.610442800197218	Q2
#7CAE00	#7CAE00	0.473279718810634	0.622083193110524	Q2
#7CAE00	#7CAE00	0.433744800102924	0.629300735668001	Q2
#7CAE00	#7CAE00	0.40820352533711	0.64861679363255	Q2
#7CAE00	#7CAE00	0.358783290035289	0.72039730040882	Q2
#7CAE00	#7CAE00	0.433880582460743	0.584802340667504	Q2
#7CAE00	#7CAE00	0.306375639459271	0.936917688843143	Q2
#7CAE00	#7CAE00	0.460048347954516	0.670308229829224	Q2
#7CAE00	#7CAE00	0.386067690678948	0.626724394068698	Q2
#7CAE00	#7CAE00	0.435680036430404	0.802406511916887	Q2
#7CAE00	#7CAE00	0.376773498124481	0.672234762990671	Q2
#7CAE00	#7CAE00	0.460201978609372	0.673538803829773	Q2
#7CAE00	#7CAE00	0.410438512569333	0.604621800821641	Q2
#7CAE00	#7CAE00	0.415262575628636	0.647796964503985	Q2
#7CAE00	#7CAE00	0.385641103488611	0.609101218954879	Q2
#7CAE00	#7CAE00	0.332812962959074	0.654950467855073	Q2
#7CAE00	#7CAE00	0.266645581921771	0.802001918042948	Q2
#7CAE00	#7CAE00	0.388083962677373	0.649194524117528	Q2
#7CAE00	#7CAE00	0.459259408578777	0.720052161027256	Q2
#7CAE00	#7CAE00	0.463766235500842	0.65290298494009	Q2
#7CAE00	#7CAE00	0.273728417616543	0.761091707856412	Q2
#7CAE00	#7CAE00	0.4045441499146	0.67547313078529	Q2
#7CAE00	#7CAE00	0.449925590707253	0.599013953349285	Q2
#7CAE00	#7CAE00	0.459748166767165	0.943830292075586	Q2
#7CAE00	#7CAE00	0.2526645341668	0.86274845493636	Q2
#7CAE00	#7CAE00	0.460095078623329	0.707366148709884	Q2
#7CAE00	#7CAE00	0.36017745807338	0.663958218465072	Q2
#7CAE00	#7CAE00	0.300086176147555	0.686901451475112	Q2
#7CAE00	#7CAE00	0.476249262465983	0.600049738892803	Q2
#7CAE00	#7CAE00	0.234295811894598	0.642514621068862	Q2
#7CAE00	#7CAE00	0.41104960359471	0.601168265078697	Q2
#7CAE00	#7CAE00	0.393252840445063	0.721707851503739	Q2
#7CAE00	#7CAE00	0.192149238904943	0.649933871383861	Q2
#7CAE00	#7CAE00	0.200724347670613	0.677091729738232	Q2
#7CAE00	#7CAE00	0.405887005842206	0.619646786228815	Q2
#7CAE00	#7CAE00	0.434682170026508	0.646358266562187	Q2
#7CAE00	#7CAE00	0.378122874111389	0.675207549881908	Q2
#7CAE00	#7CAE00	0.227438064095085	0.705307241874266	Q2
